7.2066 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001612369E0A0>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001612369E040>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000016123686EE0>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x0000016123A43B80>, multiSample=False, name='window1', numSamples=2, pos=(0, 0), screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
7.2066 	EXP 	window1: mouseVisible = True
7.2067 	EXP 	window1: backgroundImage = ''
7.2067 	EXP 	window1: backgroundFit = 'none'
7.2080 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
7.2080 	EXP 	window1: recordFrameIntervals = False
7.3730 	EXP 	window1: recordFrameIntervals = True
7.5564 	EXP 	Screen (0) actual frame rate measured at 59.98Hz
7.5564 	EXP 	window1: recordFrameIntervals = False
7.5565 	EXP 	window1: mouseVisible = False
9.3521 	EXP 	PAT_v2: status = STARTED
9.3525 	EXP 	window1: mouseVisible = True
9.4160 	EXP 	Created welcome = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([-1., -1., -1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Consolas', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='welcome', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=2.0)
9.4161 	EXP 	window1: mouseVisible = True
